Company,Level,Tag,Years of Experience,Total Compensation
Shield AI,L2,ML / AI,1  yr,"$164,500"
Visa,Senior Software Engineer,Full Stack,10  yrs,"$153,000"
Google,L6,Distributed Systems (Back-End),8  yrs,"$569,000"
Mphasis,L3,hidden,13  yrs,"$145,000"
Bank of America,Feature Lead,Web Development (Front-End),10  yrs,"$149,000"
Hightouch,Senior Backend Engineer,Distributed Systems,N/A,$170K-$240K
iRobot,Principal Software Engineer,hidden,8  yrs,"$150,000"
Google,L6,Distributed Systems (Back-End),12  yrs,"$735,500"
IBM,Senior Engineer,Csm,25  yrs,"$285,000"
NTT DATA,Associate Software Engineer,"Applications (Salesforce, Workday, etc)",3  yrs,"$100,000"
Bandcamp,Senior,Full Stack,12  yrs,"$132,000"
Cisco,Technical Leader 2,Networking,16  yrs,"$365,000"
Amazon,SDE I,Full Stack,3  yrs,"$220,000"
Amazon,SDE II,Full Stack,4  yrs,"$259,000"
Cruise,L5,Distributed Systems (Back-End),7  yrs,"$380,000"
N/A,2,Full Stack,1  yr,"$116,250"
Etsy,IC3-1,ML / AI,5  yrs,"$326,200"
N/A,-,hidden,3  yrs,"$170,000"
Simply Business,Mid-level,Distributed Systems (Back-End),4  yrs,"$137,000"
New Relic,P2,Distributed Systems (Back-End),2  yrs,"$177,000"
Facebook,E5,Distributed Systems (Back-End),7  yrs,"$423,500"
Amazon,L3,Full Stack,0  yrs,"$175,050"
Amazon,SDE II,Distributed Systems (Back-End),6  yrs,"$296,000"
Fidelity Investments,L6,Full Stack,15  yrs,"$183,000"
Boeing,L2,General,4  yrs,"$115,000"
Amazon,SDE I,Full Stack,3  yrs,"$180,000"
Cariad,Principal Software Engineer,Embedded,15  yrs,"$650,000"
Patreon,L3,Mobile (iOS + Android),1  yr,"$180,000"
HPE,Senior,Full Stack,14  yrs,"$190,000"
Lumen,l1,Networking,2  yrs,"$75,000"
The Climate Corpo...,2,Security,1  yr,"$146,000"
Terminal,L2,Data,9  yrs,"$100,900"
Amazon,SDE III,Data,12  yrs,"$380,000"
Red Hat,L2,Data,3  yrs,"$120,000"
Pure Storage,MTS3,Distributed Systems (Back-End),8  yrs,"$243,500"
GEICO,Software Engineer I,TDP Software Engineer,0  yrs,"$125,000"
Google,L4,Networking,2  yrs,"$254,000"
Google,L5,Data,6  yrs,"$347,000"
BNY,hidden,hidden,0-1  yrs,"$115,000"
PlayStation,Software Engineer 2,Distributed Systems (Back-End),5  yrs,"$190,000"
T. Rowe Price,KM1,Full Stack,2  yrs,"$105,700"
Twilio,IC4,Distributed Systems (Back-End),10  yrs,"$595,000"
Booz Allen Hamilton,Lead Engineer,Data,17  yrs,"$180,000"
CME Group,Senior Software Engineer,Testing (SDET),8  yrs,"$147,000"
Accenture,Team Leader,hidden,10  yrs,"$152,000"
HubSpot,Staff Software Engineer,Distributed Systems (Back-End),15  yrs,"$350,000"
N/A,-,Full Stack,6  yrs,"$83,000"
Raytheon,P2,hidden,2  yrs,"$95,000"
Amazon,SDE I,Data,0  yrs,"$180,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,-,hidden,5  yrs,"$99,537"
Aurora,P5,ML / AI,2  yrs,"$252,500"
Tesla,P2,Testing (SDET),0  yrs,"$167,500"
NeuraFlash,Manager,"Applications (Salesforce, Workday, etc)",5  yrs,"$198,000"
May Mobility,hidden,hidden,5-10  yrs,"$210,000"
CloudKitchens,"Machine Learning Infrastructure Engineer, City Storage Systems",,N/A,N/A
A10 Networks,L5,Research,15  yrs,"$300,000"
Millennium,Software Engineer,Distributed Systems (Back-End),1  yr,"$150,000"
Lockheed Martin,E1,Production,2  yrs,"$85,132"
Hallow,L3,DevRel,5  yrs,"$100,000"
N/A,hidden,hidden,5-10  yrs,"$158,500"
General Motors,Software Engineer 2,Testing (SDET),3  yrs,"$113,000"
BlackRock,Associate,Full Stack,2  yrs,"$170,000"
Danaher,Senior Engineer,API Development (Back-End),5  yrs,"$110,000"
Agoda,Senior Software Engineer,Full Stack,7  yrs,"$185,000"
CapTech,Senior Consultant,"Applications (Salesforce, Workday, etc)",8  yrs,"$147,000"
Capital One,Senior Software Eng,API Development (Back-End),8  yrs,"$169,000"
HubSpot,Senior Software Engineer II,API Development (Back-End),10  yrs,"$445,000"
N/A,L4,Full Stack,12  yrs,"$265,000"
Microsoft,Senior SDE,Full Stack,7  yrs,"$239,725"
Dell Technologies,Software Engineer II,API Development (Back-End),3  yrs,"$128,000"
Walmart Global Tech,L4,API Development (Back-End),6  yrs,"$284,000"
Amazon,SDE I,General,0  yrs,"$185,963"
Amazon,SDE II,API Development (Back-End),3  yrs,"$260,000"
Unity,Tech IC6,Testing (SDET),16  yrs,"$179,500"
Impellam Group,Senior,Mobile (iOS + Android),10  yrs,"$176,800"
DraftKings,L9,Distributed Systems (Back-End),7  yrs,"$197,000"
Adobe,Software Engineer 5.5,Distributed Systems (Back-End),12  yrs,"$492,000"
Millennium,Software Engineer,API Development (Back-End),25  yrs,"$360,000"
LinkedIn,Staff Software Engineer,Distributed Systems (Back-End),11  yrs,"$560,000"
ACME,L3,hidden,12  yrs,"$244,999"
BYU,55T,API Development (Back-End),6  yrs,"$122,200"
Block,Level 7,API Development (Back-End),23  yrs,"$639,000"
DoorDash,E3,General,0  yrs,"$206,250"
ROOM,L3,Data,3  yrs,"$110,000"
VirtuSense,-,API Development (Back-End),2  yrs,"$105,000"
Amazon,SDE I,Full Stack,0  yrs,"$177,000"
Google,L6,ML / AI,8  yrs,"$522,000"
Capital One,hidden,hidden,5-10  yrs,"$178,000"
Houzz,L4,Distributed Systems (Back-End),7  yrs,"$310,000"
Ahold Delhaize,L4,Data,4  yrs,"$90,000"
Intuitive,Software Engineer 3,AR / VR,1  yr,"$213,500"
Amazon,SDE II,API Development (Back-End),5  yrs,"$290,000"
Amazon,SDE II,Full Stack,2  yrs,"$250,000"
Cisco,Technical Leader 2,DevRel,14  yrs,"$315,000"
Facebook,E4,Distributed Systems (Back-End),4  yrs,"$291,750"
Apple,ICT3,Testing (SDET),8  yrs,"$217,000"
Cruise,L5,Bring up and Diagnostics,20  yrs,"$332,819"
Nutanix,MTS4,Testing (SDET),10  yrs,"$240,000"
Amazon,SDE III,Full Stack,10  yrs,"$478,900"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Nutanix,MTS4,Testing (SDET),10  yrs,"$240,000"
Amazon,SDE III,Full Stack,10  yrs,"$478,900"
Facebook,E4,Distributed Systems (Back-End),2  yrs,"$322,450"
Fidelity Investments,L3,Full Stack,0  yrs,"$82,000"
Flexport,Software Engineer II,Full Stack,3  yrs,"$212,500"
Hightouch,"Engineer + PM, AI",AI Team,1-10,N/A
HCA Healthcare,L2,DevOps,3  yrs,"$103,500"
OpenAI,L5,Distributed Systems (Back-End),7  yrs,"$447,500"
N/A,hidden,hidden,5-10  yrs,"$180,000"
StockX,5,AR / VR,7  yrs,"$180,000"
Ameriprise Financial,hidden,hidden,11+  yrs,"$150,000"
Lockheed Martin,E3,Full Stack,2  yrs,"$149,760"
Palo Alto Networks,Software Engineer,API Development (Back-End),0  yrs,"$170,800"
Virginia Tech,L4,ML / AI,7  yrs,"$160,000"
IDR,L3,Full Stack,17  yrs,"$158,080"
SoFi,Senior Staff Software Engineer,API Development (Back-End),13  yrs,"$728,800"
Goldman Sachs,L4,Full Stack,6  yrs,"$135,000"
Zip,L4,API Development (Back-End),6  yrs,"$220,000"
General Motors,Software Engineer 1,DevOps,5  yrs,"$101,200"
N/A,L0,"Applications (Salesforce, Workday, etc)",0  yrs,"$47,840"
U.S. Bank,Grade 14,Web Development (Front-End),9  yrs,"$134,000"
N/A,hidden,hidden,5-10  yrs,"$98,000"
Techcyte,Senior,Distributed Systems (Back-End),6  yrs,"$157,000"
General Motors,Software Engineer 4,Distributed Systems (Back-End),13  yrs,"$305,000"
TBD,L3,CRM,7  yrs,"$123,000"
U.S. Xpress,L5,DevRel,7  yrs,"$240,000"
Arista Networks,3H,Networking,5  yrs,"$134,000"
Wayfair,L4,Full Stack,10  yrs,"$358,000"
Cognex,L3,Full Stack,3  yrs,"$88,800"
Microsoft,SDE II,DevOps,6  yrs,"$176,000"
Pulumi,Senior,Full Stack,6  yrs,"$206,000"
Affirm,L6,API Development (Back-End),5  yrs,"$410,000"
Google,L5,ML / AI,10  yrs,"$410,000"
Snowflake,IC2,Distributed Systems (Back-End),3  yrs,"$380,000"
N/A,L1,Robotics,1  yr,"$100,000"
Amazon,SDE III,Full Stack,20  yrs,"$244,000"
Hive,L3,ML / AI,1  yr,"$154,000"
AT&T,"L2, Step 5",Mobile (iOS + Android),10  yrs,"$180,000"
N/A,L2,Robotics,4  yrs,"$145,000"
Two Sigma,L3,DevOps,5  yrs,"$297,000"
Google,L5,ML / AI,12  yrs,"$370,000"
Ampere Computing,L9,Full Stack,20  yrs,"$290,000"
Swiss Re,L3,Data,9  yrs,"$177,000"
Stripe,L1,API Development (Back-End),3  yrs,"$143,750"
Amazon,SDE II,Web Development (Front-End),4  yrs,"$257,000"
Array,Senior Software Engineer 1,Full Stack,5  yrs,"$160,000"
Amazon,SDE II,Distributed Systems (Back-End),7  yrs,"$240,000"
BORN Group,L2,SFCC,3  yrs,"$120,000"
Facebook,Senior,Networking,15  yrs,"$450,850"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Snap,L5,Mobile (iOS + Android),8  yrs,"$710,000"
ASML,L8,DevRel,2  yrs,"$210,000"
Wellington Manage...,L4,Full Stack,15  yrs,"$200,000"
Amazon,SDE II,API Development (Back-End),7  yrs,"$238,000"
BlackRock,Associate,Full Stack,4  yrs,"$180,000"
CloudKitchens,Product Manager - Sales Growth,,N/A,N/A
Synchrony,L8,API Development (Back-End),3  yrs,"$102,250"
StockX,L4,ML / AI,3  yrs,"$155,000"
Lyft,T4,ML / AI,5  yrs,"$225,500"
Tata Consultancy ...,C4,Full Stack,6  yrs,"$120,000"
JPMorgan Chase,Associate,Distributed Systems (Back-End),3  yrs,"$105,000"
N/A,K3,ML / AI,6  yrs,"$171,457"
Woven,L5,Production,10  yrs,"$197,500"
Nvidia,IC2,System Software,4  yrs,"$215,000"
Eightfold,Software Engineer,Full Stack,1  yr,"$160,750"
Bosch Global,EG14,Production,18  yrs,"$159,009"
DoorDash,E4,Full Stack,5  yrs,"$310,850"
Ford Motor,L3,Data,6  yrs,"$120,000"
DoorDash,E4,Distributed Systems (Back-End),4  yrs,"$260,000"
Amazon,SDE II,Distributed Systems (Back-End),4  yrs,"$265,000"
N/A,-,hidden,2  yrs,"$100,000"
Cruise,L4,ML / AI,8  yrs,"$415,000"
N/A,-,hidden,5  yrs,"$108,000"
Fidelity Investments,L6,Full Stack,8  yrs,"$150,000"
Microsoft,60,Full Stack,2  yrs,"$190,750"
Amazon,SDE I,Distributed Systems (Back-End),2  yrs,"$155,500"
Anduril Industries,L5,hidden,8  yrs,"$287,000"
Amazon,SDE I,Full Stack,2  yrs,"$177,000"
Michigan State Un...,hidden,hidden,5-10  yrs,"$25,000"
The Home Depot,Staff Software Engineer,DevOps,25  yrs,"$203,000"
Patterson Companies,hidden,hidden,5-10  yrs,"$153,000"
NYSE,L3,Full Stack,6  yrs,"$625,000"
Motorola Solutions,E06,ML / AI,4  yrs,"$130,000"
Boeing,L2,Security,5  yrs,"$106,000"
SalesLoft,L5,Data,6  yrs,"$179,300"
Intel,Grade 10,Security,15  yrs,"$510,000"
Google,L5,DevOps,21  yrs,"$339,000"
Amazon,SDE III,Networking,20  yrs,"$445,000"
Salesforce,Lead MTS,Security,5  yrs,"$367,000"
Ironclad,L4,Full Stack,6  yrs,"$243,000"
Bloomberg,Software Engineer,Distributed Systems (Back-End),2  yrs,"$190,000"
Clearwater Analytics,L2,Distributed Systems (Back-End),3  yrs,"$109,000"
Amazon,SDE II,Full Stack,4  yrs,"$380,000"
Axxess,1,Full Stack,3  yrs,"$75,000"
Amazon,SDE II,Full Stack,4  yrs,"$268,800"
Google,L5,Distributed Systems (Back-End),15  yrs,"$420,000"
Facebook,E4,Data,10  yrs,"$289,750"
Barclays,BA4,DevOps,2  yrs,"$120,000"
2U,Software Engineer I,Full Stack,4  yrs,"$108,500"
Dropbox,IC3,Mobile (iOS + Android),9  yrs,"$518,000"
Stripe,L3,ML / AI,7  yrs,"$498,000"
N/A,N/A,N/A,N/A,N/A
Blue Origin,hidden,hidden,11+  yrs,"$274,000"
Two Sigma,L3,Full Stack,4  yrs,"$351,000"
Virta Health,L4,Distributed Systems (Back-End),5  yrs,"$215,000"
BigBear.ai,T8,Full Stack,3  yrs,"$117,875"
Citizens Bank,Principal Software Engineer,API Development (Back-End),18  yrs,"$150,000"
CloudKitchens,"Machine Learning Infrastructure Engineer, City Storage Systems",,N/A,N/A
Salesforce,Architect,API Development (Back-End),7  yrs,"$220,000"
KBR,L2,General,2  yrs,"$87,000"
Google,L6,Consumer,20  yrs,"$490,000"
Remote Tiger,L1,Data,2  yrs,"$65,000"
Accenture,Associate Software Engineer,Networking,4  yrs,"$100,000"
Barclays,BA4,Web Development (Front-End),6  yrs,"$110,000"
Facebook,E4,ML / AI,1  yr,"$297,000"
Niantic,L3,AR / VR,0  yrs,"$247,240"
N/A,V,Data,4  yrs,"$149,000"
Microsoft,SDE II,API Development (Back-End),3  yrs,"$241,000"
N/A,hidden,hidden,0-1  yrs,"$95,000"
Zillow,P5,ML / AI,10  yrs,"$697,399"
Nike,SWE III,Full Stack,10  yrs,"$177,000"
Infineon Technolo...,Senior Software Engineer,Data,12  yrs,"$120,000"
Salesforce,Senior MTS,API Development (Back-End),6  yrs,"$245,000"
Nuro,L5,Distributed Systems (Back-End),5  yrs,"$440,000"
University of Pho...,II,Full Stack,3  yrs,"$99,000"
Intel,Grade 8,Research,13  yrs,"$199,000"
Mettl,L3,Testing (SDET),8  yrs,"$90,000"
Uber,Software Engineer I,Security,12  yrs,"$150,000"
Amazon,SDE I,API Development (Back-End),1  yr,"$179,000"
HPE,L3,DevOps,5  yrs,"$154,000"
Apple,ICT4,ML / AI,6  yrs,"$349,000"
Cisco,Technical Leader 1,Distributed Systems (Back-End),11  yrs,"$342,000"
Umbrage,Mid,Web Development (Front-End),5  yrs,"$125,000"
ByteDance,2-2,Distributed Systems (Back-End),9  yrs,"$450,000"
Amazon,SDE,Distributed Systems (Back-End),3  yrs,"$283,225"
Intuit,Staff Software Engineer,Distributed Systems (Back-End),13  yrs,"$277,853"
Google,L4,Distributed Systems (Back-End),2  yrs,"$261,000"
Autodesk,Senior Software Engineer 2,Full Stack,8  yrs,"$218,667"
McKinsey,Software Engineer II,Full Stack,2  yrs,"$167,600"
Nutanix,Senior MTS,System,19  yrs,"$310,000"
Vivify Health,-,Full Stack,2  yrs,"$100,250"
Randstad,1,Robotics,3  yrs,"$93,600"
Facebook,E6,Distributed Systems (Back-End),20  yrs,"$600,000"
Regions Bank,L3,Mobile (iOS + Android),7  yrs,"$115,920"
CVS Health,L2,Full Stack,6  yrs,"$140,000"
UScellular,L3,DevOps,25  yrs,"$151,000"
Citadel,L3,Data,10  yrs,"$240,000"
Google,L5,Full Stack,11  yrs,"$435,000"
ITS Logistics,-,hidden,15  yrs,"$125,000"
Affirm,L4,DevOps,0  yrs,"$220,333"
JPMorgan Chase,Vice President,Data,19  yrs,"$155,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Dropbox,IC4,Full Stack,12  yrs,"$353,300"
Yahoo,Software Engineer,hidden,2  yrs,"$181,500"
ESO,Senior,API Development (Back-End),6  yrs,"$139,000"
Philips,CG60,DevRel,5  yrs,"$135,000"
NI,Senior Software Engineer,hidden,5  yrs,"$119,000"
"Negotiate up, or your money back+$25k+$19k+$13kNegotiate your offerMake More",N/A,N/A,N/A,N/A
Two Sigma,L1,Data,1  yr,"$245,000"
Google,L5,Distributed Systems (Back-End),11  yrs,"$410,000"
Goldman Sachs,Analyst,Distributed Systems (Back-End),3  yrs,"$135,000"
Garmin,Senior Software Engineer,Distributed Systems (Back-End),8  yrs,"$120,300"
Melissa,2,API Development (Back-End),3  yrs,"$100,000"
Amazon,SDE II,Distributed Systems (Back-End),6  yrs,"$302,000"
Facebook,E5,Data,6  yrs,"$550,000"
Medtronic,Distinguished Engineer,ML / AI,22  yrs,"$308,000"
N/A,L3,Research,1  yr,"$160,000"
Boeing,L3,Production,9  yrs,"$134,500"
Oracle,IC-3,API Development (Back-End),6  yrs,"$230,000"
DTCC,Principal Engineer,Security,7  yrs,"$180,000"
Oracle,IC-3,API Development (Back-End),12  yrs,"$139,000"
Civix,L2,Data,2  yrs,"$80,000"
Apple,ICT4,Distributed Systems (Back-End),20  yrs,"$362,000"
Facebook,E4,AR / VR,2  yrs,"$381,402"
Google,L5,Data,18  yrs,"$405,000"
Stripe,L2,Security,3  yrs,"$285,000"
Clearwater Analytics,L3,Distributed Systems (Back-End),6  yrs,"$127,000"
PayPal,T26,Distributed Systems (Back-End),14  yrs,"$280,000"
Broadcom,ICB 6,Distributed Systems (Back-End),7  yrs,"$470,000"
Sprout Social,Senior Software Engineer,Web Development (Front-End),8  yrs,"$159,750"
Northrop Grumman,T2,Space,2  yrs,"$97,000"
Cruise,L4,Embedded System,7  yrs,"$253,000"
Facebook,E4,AR / VR,7  yrs,"$340,000"
Marriott,L2,Data,8  yrs,"$150,000"
Gilead Sciences,L2,"Applications (Salesforce, Workday, etc)",5  yrs,"$150,000"
Ramp,L4,Mobile (iOS + Android),4  yrs,"$285,000"
Microsoft,62,Distributed Systems (Back-End),6  yrs,"$183,000"
ADP,Lead Software Engineer,Full Stack,7  yrs,"$130,000"
FamilySearch,L3,Web Development (Front-End),12  yrs,"$141,000"
General Dynamics ...,Software Engineer,Research,2  yrs,"$84,500"
N/A,Senior,Full Stack,8  yrs,"$100,000"
Cruise,L4,ML / AI,8  yrs,"$330,000"
Google,L4,Web Development (Front-End),3  yrs,"$240,175"
Amazon,SDE II,Distributed Systems (Back-End),10  yrs,"$274,000"
Apple,ICT2,Distributed Systems (Back-End),0  yrs,"$185,000"
HPE,Specialist,Distributed Systems (Back-End),7  yrs,"$141,000"
Indeed,L2,Ads,3  yrs,"$236,000"
Snap,L5,ML / AI,6  yrs,"$560,000"
Visa,Staff Software Engineer,Full Stack,9  yrs,"$215,000"
The Research Foun...,-,Research,3  yrs,"$37,440"
Virtusa,L4,Testing (SDET),10  yrs,"$116,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
Snowflake,IC1,Distributed Systems (Back-End),0  yrs,"$230,000"
AppLovin,Senior Software Engineer 2,Data,8  yrs,"$420,000"
Cruise,L5,API Development (Back-End),16  yrs,"$380,000"
Facebook,E5,Full Stack,7  yrs,"$400,000"
Electronic Arts,SE 1,Full Stack,6  yrs,"$90,000"
Hightouch,Senior Backend Engineer,Customer Studio Team,N/A,$170K-$240K
First Horizon,Entry Level,Sharepoint Developer,3  yrs,"$99,000"
Outlier AI,L1,ML / AI,1  yr,"$52,000"
Facebook,E3,Full Stack,0  yrs,"$178,000"
N/A,L4,Web Development (Front-End),5  yrs,"$120,000"
Amazon,SDE II,API Development (Back-End),6  yrs,"$285,000"
Microsoft,67,ML / AI,20  yrs,"$674,000"
Callibrity,Mid,Full Stack,5  yrs,"$111,000"
Amazon,SDE II,Distributed Systems (Back-End),6  yrs,"$250,000"
N/A,-,General,15  yrs,"$30,000"
Rigetti Computing,hidden,hidden,5-10  yrs,"$276,000"
Google,L4,hidden,14  yrs,"$255,000"
Bloomberg,Senior Software Engineer,Distributed Systems (Back-End),10  yrs,"$300,000"
Amazon,SDE III,Full Stack,8  yrs,"$526,000"
E2open,Senior Product Owner,Full Stack,13  yrs,"$103,000"
FOX,Mid,Data,3  yrs,"$154,000"
Scale AI,L5,Full Stack,8  yrs,"$625,700"
Microsoft,SDE II,Full Stack,5  yrs,"$173,000"
X BY 2,SC2,Full Stack,6  yrs,"$130,000"
Hanover Insurance,L3,Cloud,0  yrs,"$70,000"
Axon,L7,ML / AI,7  yrs,"$170,000"
N/A,hidden,hidden,2-4  yrs,"$160,000"
Facebook,E5,Full Stack,16  yrs,"$530,000"
JPMorgan Chase,Senior Associate,DevOps,8  yrs,"$133,000"
Fidelity Investments,L5,ML / AI,5  yrs,"$156,000"
Amazon,SDE I,General,0  yrs,"$176,750"
Microsoft,SDE II,Distributed Systems (Back-End),7  yrs,"$187,434"
N/A,-,Full Stack,5  yrs,"$90,418"
